aksara,filename,brightness,contrast
ba,ba_0212.png,254.02847985347987,12.567647512144859
ba,ba_2666.png,242.3621053890306,52.40305787711423
ba,ba_0219.png,252.80563180827886,19.19644543404699
ba,ba_2745.png,241.30656090561226,54.230672592285444
ba,ba_0216.png,253.27452069716776,16.806600400915826
ba,ba_0163.png,253.08859477124184,17.93678820218608
ba,ba_0232.png,254.1470806100218,12.067185792828568
ba,ba_0207.png,253.25593253968253,17.05188262087457
ba,ba_2708.png,242.3454041772959,54.629576978113455
ba,ba_0166.png,253.6559490084986,14.796898043520361
ba,ba_0215.png,253.3672222222222,16.414941375008098
ba,ba_2674.png,241.67560188137756,53.61392153486447
ba,ba_0227.png,253.50831154684096,15.822113554244826
ba,ba_0158.png,253.20627450980393,17.284910991797474
ba,ba_0192.png,252.45678649237473,20.408045684758495
ba,ba_0195.png,253.40454248366012,16.485825926838643
ba,ba_0191.png,253.802,14.176500498020323
ba,ba_2676.png,241.67297114158163,53.6254230840738
ba,ba_0214.png,253.42041548630783,16.342358299944475
ba,ba_0234.png,253.23184095860566,16.754162728234473
ba,ba_0186.png,253.4739282341832,16.02873276316506
ba,ba_2712.png,243.37153220663265,50.24178067468153
ba,ba_0159.png,253.05049019607844,17.90710323209582
ba,ba_0217.png,252.35282135076253,21.02854152072325
ba,ba_2741.png,241.3084941007653,54.21817414632262
ba,ba_0196.png,253.7142156862745,14.450269105352186
ba,ba_0168.png,253.0931917211329,18.42390158803966
ba,ba_0222.png,253.13857412653448,17.586758213061728
ba,ba_0177.png,237.1578076923077,64.20458452209878
ba,ba_2678.png,241.2364875637755,54.45936084264883
ba,ba_0229.png,253.2019246031746,17.15980272699066
ba,ba_0220.png,244.13281045751634,50.689608537351674
ba,ba_0181.png,252.86425997425997,18.61537377884147
ba,ba_2699.png,242.34618144132654,46.75520466762734
ba,ba_2729.png,241.14885602678572,48.73969205073922
ba,ba_0199.png,253.06562091503267,17.31280920997012
ba,ba_0204.png,253.2024074074074,17.189103323660948
ba,ba_2711.png,241.6047911352041,56.060778853898725
ba,ba_0170.png,253.59446623093683,15.095435252281778
ba,ba_0165.png,252.7741394335512,18.92232287296311
ba,ba_0189.png,253.7167320261438,14.777850962866534
ba,ba_0228.png,253.4143059490085,16.414248896076653
ba,ba_0167.png,253.6338888888889,15.15790035085591
ba,ba_0206.png,252.5315468409586,19.70668484181897
ba,ba_2683.png,239.70364317602042,57.13066366382062
ba,ba_0198.png,253.3274074074074,16.574417067323996
ba,ba_0172.png,252.87435729847493,18.719486089241943
ba,ba_2688.png,241.2370057397959,48.63079550571942
ba,ba_0231.png,238.4024291938998,62.229269505641575
ba,ba_2696.png,239.7043008609694,57.134564080117414
ba,ba_2652.png,240.69897959183675,57.697188052476605
ba,ba_0202.png,253.25995642701525,17.033475435187956
ba,ba_4086.png,241.9525071747449,53.049541214178895
ba,ba_2744.png,232.2609414859694,69.66114893898039
ba,ba_2704.png,243.37151227678572,50.23182934833743
ba,ba_0161.png,253.08050108932463,17.661422670025807
ba,ba_4092.png,240.49613360969389,55.700901131281
ba,ba_2668.png,242.3631816007653,52.41815222031837
ba,ba_2701.png,242.34829400510205,52.337255196736834
ba,ba_2760.png,241.00408561862244,55.015389153717855
ba,ba_2691.png,239.70320471938774,51.01544800549842
ba,ba_2660.png,239.67231345663265,57.215683952494565
ba,ba_0203.png,253.3195054945055,16.673215687658626
ba,ba_4078.png,243.59528459821428,44.49588853889482
ba,ba_2670.png,238.02752311862244,59.970659909953795
ba,ba_2746.png,241.30759725765307,48.48672008449411
ba,ba_0180.png,253.31079320113315,16.638833566932913
ba,ba_0205.png,253.30694989106755,16.652053975113155
ba,ba_2728.png,243.37065529336735,44.92412168358169
ba,ba_2710.png,241.60558832908163,53.7286232766507
ba,ba_2736.png,232.26257573341837,69.6497909730355
ba,ba_4072.png,243.59510522959184,51.98459159242302
ba,ba_2748.png,241.0049426020408,57.28720968609969
ba,ba_4076.png,243.59618144132654,49.8167208133949
ba,ba_4083.png,243.59500558035714,49.81287711196617
ba,ba_0160.png,253.52152505446622,15.605474106065484
ba,ba_2664.png,239.6720344387755,59.71578374749757
ba,ba_4070.png,245.10405373086735,46.488016918186915
ba,ba_2754.png,239.26711973852042,57.85958693204678
ba,ba_0224.png,253.2176034858388,17.203540305697203
ba,ba_2687.png,239.32322225765307,51.57483347806879
ba,ba_0182.png,236.0941394335512,66.05186979775912
ba,ba_2700.png,243.36971859056123,50.23483324933545
ba,ba_2706.png,242.34458705357142,52.359023260958494
ba,ba_0194.png,252.97872300469484,17.858547429831898
ba,ba_2749.png,239.26867426658163,52.02320562052246
ba,ba_2735.png,232.26108099489795,64.88196084008173
